189484959431670, 401088290781515, 262795384692232 @ 95, -36, 39
175716591307178, 163094456512341, 297355219841654 @ 160, 182, -56
283402568811320, 363632912812075, 314435988531407 @ -6, 37, -10
210628270709895, 24344943957440, 194150916148782 @ 143, 624, 229
323432520554758, 278359855898377, 334575740037142 @ -98, 22, -90
183772135202106, 194170580689431, 247972949492320 @ 95, 211, 58
209613878429554, 161925984290583, 147949291159064 @ 72, 236, 169
358528899316296, 344427725648355, 203778686745988 @ -165, -105, 121
235656144809376, 187645611519681, 277846362658138 @ 37, -172, -182
322929794114514, 493750784273447, 359342898663544 @ -43, -81, -51
274849075307900, 380471862978895, 396645827837182 @ -11, -75, -150
244581692494389, 413448703009362, 203506128792910 @ 27, -216, 121
234897839520356, 244021499443123, 239855447325194 @ 42, -251, 41
250804126616208, 327326967411939, 484622276913752 @ -13, -481, -805
415859927540361, 339794239007631, 358978839275613 @ -193, -7, -92
357415010972820, 216682726740615, 178271265428707 @ -126, 145, 148
227699893514307, 351807021826944, 257227425946951 @ 55, -108, 32
240533242350670, 133316571970415, 236246534986352 @ -11, 15, 29
520406139070848, 496760511549036, 477745838362021 @ -370, -268, -282
266845727222915, 249834631873845, 269676064598489 @ -41, -85, -26
227310464919241, 235265467794866, 451360696814078 @ 51, 172, -143
208350823396561, 321843648701667, 351104519182093 @ 85, -43, -114
251566049576826, 265137887157915, 256371905300032 @ 10, -20, 25
394228225031755, 515705794231339, 408102050710671 @ -161, -227, -152
220439767930957, 393088889182157, 445100516655675 @ 67, -177, -278
134292351055800, 171147554569881, 164375591598652 @ 299, 126, 245
350606469009210, 204478374651555, 272370435139052 @ -94, 182, 26
253226504468630, 266710965366743, 193415602841712 @ 24, 129, 115
368138920052267, 449434390875132, 281871352761644 @ -93, -52, 23
234810130725921, 255092767321326, 225122425594918 @ 43, -56, 89
57255582037529, 152522786271424, 163781191432119 @ 315, 226, 178
233116155633390, 485577261641275, 171984651867432 @ 47, -606, 215
239837041003890, 131370059940359, 270311379171288 @ -46, -198, -572
161402360308270, 133207849399505, 199825266820132 @ 114, 274, 105
226378140452175, 3406825540427, 239285386103658 @ 89, 853, 29
253446505570430, 172325954908343, 248761524810776 @ -51, -51, -13
192387141902361, 161822988563781, 171814442745184 @ 95, 231, 147
224329888603491, 73997914647298, 239112443549586 @ 167, 634, -23
343319337197715, 435996879225042, 232140160324081 @ -61, -18, 74
303601695281667, 43707179132274, 136804697995410 @ -25, 362, 169
244536087198090, 498213171670431, 365800688211664 @ 29, -282, -124
310269598459182, 302702303531873, 167863814342822 @ -94, -62, 190
233369757421215, 289345466286645, 341542878344527 @ 45, 119, -34
231274239925575, 147933318438006, 267785689906573 @ 59, 78, -102
197445953357778, 260178750660093, 334218510167668 @ 188, -316, -327
307895849258550, 140840516551365, 394109489606092 @ -94, 230, -231
367915090056162, 178725683493543, 263311423612216 @ -155, 189, 27
138206019764634, 223466331369455, 236760138796240 @ 248, 45, 63
397636242458600, 333145097471235, 217638483723912 @ -150, 29, 91
152114915885616, 268077782060457, 327524369337434 @ 137, 116, -34
188640081553815, 357048042116043, 127653368803063 @ 109, -59, 222
277424489479170, 265614666636615, 261922524332632 @ -37, -5, 17
205355868488978, 63826476000877, 289934386457514 @ 156, 448, -152
240835619040386, 342055610452613, 244007968533464 @ 36, 6, 59
254875734217560, 302089546750335, 76475452703362 @ 22, 89, 241
295655733855170, 354403924039510, 188211736649312 @ -36, -26, 131
239537917150134, 324698472666602, 502596536893536 @ 32, -216, -557
330234899652166, 109222815336319, 521784065468509 @ -48, 297, -204
221562218131074, 361309394033190, 212672839827619 @ 60, -20, 98
225220792790018, 90580415226369, 125574019074742 @ 100, 368, 720
224552618200950, 308963651725405, 269113366020896 @ 74, -330, -41
262268304644874, 458233260234807, 60003767983584 @ -37, -733, 572
257162159440202, 250151498856651, 202928410902524 @ 6, 56, 122
268005678805579, 59709491660986, 163857254167814 @ -45, 414, 253
187692752257770, 224653998584815, 193305827913232 @ 107, 138, 126
388902652391774, 394102924291725, 333495231517172 @ -122, -10, -35
271165877597216, 371420215172463, 210931399389510 @ -18, -151, 109
249501885306669, 209821585678636, 231878000088914 @ 5, 24, 73
267373257993438, 321835975748652, 431648893481398 @ -32, -204, -387
146297663528750, 192875685355965, 167547449751772 @ 202, 140, 189
260615099596562, 197335317671751, 262857353910296 @ -89, -184, -86
265542901017753, 395399467897764, 263267760856408 @ 13, 12, 43
308485939045625, 492276784224990, 361565644203957 @ -27, -70, -50
391073510780850, 227251204032615, 318293375075512 @ -204, 105, -63
307470708397340, 239436794511379, 267328767374518 @ -186, -131, -39
201202375763937, 320805759187950, 260425057012810 @ 87, 20, 37
